Walor,Kurs (PLN),Zmiana (%),Otwarcie,Min,Max,Obrót (szt.),Obrót (PLN),"Czas
aktualizacji"
Global Cosmed SA,0.82,-5.75,0.91,0.82,0.91,12200,10499,2018-12-07
Globalworth Poland Real Estate NV,5.2,0,5.2,5.2,5.2,531,2761,2018-12-07
Gobarto SA,8.5,6.25,7.8,7.8,8.58,11088,91192,2018-12-07
GPM Vindexus SA,7.36,5.14,7.02,7,7.36,2088,14734,2018-12-07
GPW SA,38.05,3.82,37.1,37,38.65,68487,2607312,2018-12-07
Graviton Capital SA,1.53,-1.29,1.55,1.53,1.55,2001,3062,2018-12-07
Groclin SA,3.22,0.63,3.24,3.22,3.45,173514,581332,2018-12-07
Grodno SA,3.69,0,3.69,3.5,3.69,14859,52820,2018-12-07
Grupa Azoty SA,31.48,-4.61,33.4,31.18,34,236730,7698399,2018-12-07
Grupa Kęty SA,330.5,-2.79,346.5,330.5,346.5,402,134921,2018-12-07
Grupa Lotos SA,82.34,-2.14,83.78,82.2,85.5,210085,17580265,2018-12-07
Grupa Żywiec SA,468,0.86,468,468,468,3,1404,2018-12-07
GTC SA,8.65,1.76,8.42,8.42,8.65,53605,455629,2018-12-07
Harper Hygienics SA,0.14,-6.67,0.16,0.14,0.16,53601,7836,2018-12-07
Helio SA,10.15,-5.14,10.5,10.15,10.5,151,1533,2018-12-07
Herkules SA,3,0.33,2.99,2.99,3.02,8931,26846,2018-12-07
Hollywood SA,0.94,0,0.99,0.92,0.99,13724,12676,2018-12-07
HubStyle SA,0.48,0,0,0,0,0,0,2018-12-06
Hydrotor SA,34.8,2.96,33.8,33.8,34.8,103,3484,2018-12-07
Hyperion SA w upadłości,0.28,0,0,0,0,0,0,2018-12-06
i2 Development SA,11.2,0,0,0,0,0,0,2018-12-06
IBSM SA,15,0,0,0,0,0,0,2018-12-06
Idea Bank SA,2.18,0,2.18,2.14,2.18,188358,408855,2018-12-07
IDM SA w upadłości układowej,1.07,3.88,1.02,1.02,1.07,717,734,2018-12-07
iFirma SA,2.27,0,2.27,2.27,2.27,60,136,2018-12-07
IMC SA,13.1,1.16,13.3,13.1,13.3,2,26,2018-12-07
Immofinanz AG,90.1,2.21,88.15,88.15,90.1,77,6801,2018-12-07
Impel SA,7.9,-0.63,7.95,7.2,7.95,436,3169,2018-12-07
Impera Capital SA,1.11,-0.89,1.12,1.11,1.15,279,315,2018-12-07
Impexmetal SA,3.42,0,3.4,3.35,3.46,1140333,3898010,2018-12-07
IMS SA,3.38,0,3.38,3.36,3.38,1980,6682,2018-12-07
INC SA,0.94,0,0.94,0.91,0.94,368,335,2018-12-07
Indata SA w upadłości,0.31,0,0,0,0,0,0,2018-12-06
IndygoTech Minerals SA,0.25,0,0,0,0,0,0,2018-12-06
Indykpol SA,66,0,66,66,66,1,66,2018-12-07
ING Bank Śląski SA,180,0,179.2,179.2,181,1744,313999,2018-12-07
Inpro SA,4.5,0,4.5,4.5,4.5,1,5,2018-12-07
Instal Kraków SA,12.15,0,12.3,12.05,12.3,4993,61106,2018-12-07
Inter Cars SA,203,-0.25,203.5,201,203.5,389,78726,2018-12-07
Inter Rao Lietuva AB,10.55,-2.31,10.55,10.5,10.75,460,4897,2018-12-07
Interbud-Lublin SA,0.25,13.64,0.21,0.21,0.25,12687,3096,2018-12-07
Interferie SA,3.72,0,0,0,0,0,0,2018-12-06
Interma Trade SA,1.11,0.91,1.13,1.1,1.13,1106,1222,2018-12-07
Intersport Polska SA,1.91,-3.54,1.98,1.91,1.98,1379,2641,2018-12-07
Introl SA,3.78,0,0,0,0,0,0,2018-12-06
Invista SA,0.81,-10,0.9,0.81,0.9,2904,2410,2018-12-07
IPF plc,9.3,0,0,0,0,0,0,2018-12-06
Ipopema Securities SA,1.16,0,1.16,1.16,1.16,45,52,2018-12-07
IQ Partners SA,0.44,7.32,0.41,0.41,0.45,100622,42690,2018-12-07
Izoblok SA,31.5,0,31.5,30.8,31.5,5590,175648,2018-12-07
Izolacja Jarocin SA,1.73,0,1.73,1.63,1.73,492,803,2018-12-07
Izostal SA,3.09,-0.64,3.11,3.09,3.12,327,1017,2018-12-07
J.W. Construction Holding SA,2.32,-3.33,2.4,2.24,2.4,24929,57655,2018-12-07
JHM Development SA,1.59,0,1.59,1.59,1.59,2,3,2018-12-07
JJ Auto AG,9.7,0,0,0,0,0,0,2018-12-06
JSW SA,68.62,-0.06,69.46,67.88,69.96,135128,9310149,2018-12-07
JWW Invest SA,1.02,0,0,0,0,0,0,2018-12-06
K2 Internet SA,11.85,0,11.45,11.45,11.85,185,2119,2018-12-07
KB Dom SA,0.5,0,0,0,0,0,0,2018-12-06
KCI SA,0.46,0,0.46,0.46,0.46,6851,3151,2018-12-07
KDM Shipping Public Ltd.,1.37,0,0,0,0,0,0,2018-12-06
Kernel Holding SA,52.9,-0.56,53.2,52.6,53.5,29163,1545507,2018-12-07
KGHM Polska Miedź SA,89,-0.36,89.92,88.1,90.2,624892,55550026,2018-12-07
Kino Polska TV SA,11.2,0,11.2,11.2,11.2,1030,11536,2018-12-07
Kogeneracja SA,45,-0.66,44.1,44.1,45.5,64,2869,2018-12-07
Kompap SA,6.25,0,0,0,0,0,0,2018-12-06
Komputronik SA,3.27,-2.1,3.34,3.27,3.34,30,98,2018-12-07
Konsorcjum Stali SA,28,3.32,27,27,28,461,12907,2018-12-07
Korporacja KGL SA,16.6,0,16.6,16,16.6,2106,33870,2018-12-07
KPPD SA,21.6,0,0,0,0,0,0,2018-12-06
Krakchemia SA,1.16,5.45,1.1,1.06,1.16,2340,2512,2018-12-07
Kredyt Inkaso SA,12.9,0,12.9,12.9,12.9,1,13,2018-12-07
Krezus SA,0.55,0,0.55,0.54,0.56,516514,284289,2018-12-07
KRKA DD,234,0,0,0,0,0,0,2018-12-06
Kruk SA,168,-0.3,169.1,167.4,171.6,71843,12135688,2018-12-07
Kruszwica SA,41.9,-0.24,41.6,41,41.9,292,12104,2018-12-07
Krynica Vitamin SA,5.84,0.34,5.86,5.66,6.08,2586,15123,2018-12-07
Krynicki Recykling SA,4.96,3.33,4.97,4.8,4.97,1325,6365,2018-12-07
KSG Agro SA,0.75,7.14,0.75,0.75,0.75,1834,1376,2018-12-07
Labo Print SA,13.8,0,13.8,13.8,13.8,4,55,2018-12-07
Lark.pl SA,0.15,0,0,0,0,0,0,2018-12-06
Larq SA,6.68,-0.89,6.72,6.46,6.72,272,1758,2018-12-07
LC Corp SA,2.45,-0.41,2.46,2.45,2.5,112012,276363,2018-12-07
Lena Lighting SA,2.72,0.74,2.73,2.72,2.73,1227,3337,2018-12-07
Lentex SA,7.46,0,7.36,7.36,7.46,836,6155,2018-12-07
Libet SA,1.17,8.33,1.13,1.09,1.18,27599,30804,2018-12-07
LiveChat Software SA,26.8,-0.37,26.8,26.6,27,19838,530498,2018-12-07
Lokum Deweloper SA,17.3,0,17.2,17.2,17.3,4,69,2018-12-07
LPP SA,7755,-1.27,7895,7675,7895,1864,14459305,2018-12-07
LSI Software SA,12.45,0,0,0,0,0,0,2018-12-06
Lubawa SA,0.67,6.35,0.63,0.62,0.68,250693,165116,2018-12-07
LW Bogdanka SA,54.2,-1.45,55.8,53.8,55.9,5531,300013,2018-12-07
